Symbol,Name,"5D %Chg",Last,Change,%Chg,"5D High","5D Low","5D Avg Vol",Time
CMC,"Commercial Metals Company",+9.89%,21.67,0.19,+0.88%,21.89,19.78,910799,"16:00 ET"
APRE,"Aprea Therapeutics Inc",+9.84%,29.26,0.51,+1.77%,29.78,26.41,82151,"16:00 ET"
AOS,"Smith [A.O.] Corp",+9.79%,53.18,1.43,+2.76%,54.19,48.6,936072,"16:00 ET"
BHE,"Benchmark Electronics",+9.65%,21.45,0.22,+1.04%,21.62,19.5,254726,"16:00 ET"
OLN,"Olin Corp",+9.64%,12.37,0.67,+5.73%,12.59,11.12,2879834,"16:00 ET"
APAM,"Artisan Partners Asset Mgmt",+9.64%,39.16,0.059999999999995,+0.15%,39.45,36.08,440646,"16:00 ET"
CTS,"Cts Corp",+9.52%,22.22,0.28,+1.28%,22.26,20.27,207448,"16:00 ET"
HCSG,"Healthcare Svcs Gp",+9.50%,22.17,0.88,+4.13%,22.4,20.05,569300,"16:00 ET"
MLM,"Martin Marietta Materials",+9.40%,226.98,2.03,+0.90%,228.1,206.18,556121,"16:03 ET"
COP,Conocophillips,+9.37%,36.09,1.01,+2.88%,36.02,32.64,8214609,"16:00 ET"
BKR,"Baker Hughes A Ge Co. Cl A",+9.19%,15.19,0.18,+1.20%,15.25,13.55,7366963,"16:00 ET"
PKG,"Packaging Corp of America",+9.17%,112.96,1.95,+1.76%,113.46,103.06,693845,"16:03 ET"
SQM,"Sociedad Quimica Y Minera S.A.",+9.08%,34.37,0.44,+1.30%,34.81,31.58,721961,"16:00 ET"
BMRN,"Biomarin Pharmaceuticals",+9.04%,78.37,2.73,+3.61%,78.64,71.35,2117614,"16:16 ET"
XRAY,"Dentsply Sirona Inc",+8.94%,47.72,0.33,+0.70%,47.98,43.77,1383078,"16:00 ET"
SHBI,"Shore Bancshares Inc",+8.93%,11.3,0.09,+0.80%,11.77,10.44,56447,"16:00 ET"
MT,Arcelormittal,+8.68%,13.74,0.78,+6.02%,13.83,12.55,3173814,"16:00 ET"
NESR,"National Energy Services Reunited Corp",+8.64%,7.28,0.16,+2.25%,7.39,6.59,105832,"16:00 ET"
CE,"Celanese Corp",+8.61%,114.22,0.78,+0.69%,115.03,105.16,746023,"16:02 ET"
MOV,"Movado Group Inc",+8.56%,12.2,0.069999999999999,+0.58%,12.51,11.12,258261,"16:00 ET"
INFY,"Infosys Ltd",+8.41%,13.67,0.11,+0.81%,13.74,12.68,7979317,"16:00 ET"
VMC,"Vulcan Materials Company",+8.35%,133.75,0.46000000000001,+0.35%,134.58,123.01,847955,"16:00 ET"
KEYS,"Keysight Technologies Inc Comm",+8.21%,98.25,0.28,+0.29%,99,90.76,1417001,"16:03 ET"
MSA,"Msa Safety Inc",+8.16%,133.43,1.27,+0.96%,134.29,123.25,126165,"16:00 ET"
TX,"Ternium S.A.",+8.15%,19.56,0.5,+2.62%,19.58,18.09,156317,"16:00 ET"
ATHM,"Autohome Inc",+8.14%,96.06,0.37,+0.39%,96.22,88.68,530766,"16:00 ET"
SSTK,"Shutterstock Inc",+8.10%,52.35,0.3,+0.58%,52.52,47.97,317723,"16:00 ET"
UHS,"Universal Health Services",+8.09%,122.03,0.54000000000001,+0.44%,122.99,112.26,763525,"16:00 ET"
FCX,"Freeport-Mcmoran Inc",+8.05%,17.03,0.25,+1.49%,17.2,15.87,22057039,"16:02 ET"
BHR,"Braemar Hotels & Resorts Inc",+8.00%,2.7,0.02,+0.75%,2.75,2.46,539860,"16:00 ET"
NUE,"Nucor Corp",+7.93%,48.97,1.41,+2.96%,49.19,45.29,1710655,"16:00 ET"
TT,"Trane Technologies Plc",+7.90%,124.87,2.86,+2.34%,125.08,115.87,1004515,"16:04 ET"
SPXC,"SPX Corp",+7.70%,43.05,0.61,+1.44%,43.24,39.89,184597,"16:00 ET"
HUYA,"Huya Inc",+7.65%,27.56,0.31,+1.14%,27.69,25.05,1407163,"16:00 ET"
BLBD,"Blue Bird Corp",+7.63%,12.61,0.0099999999999998,+0.08%,12.76,11.52,68063,"16:00 ET"
STLD,"Steel Dynamics Inc",+7.55%,31.26,0.8,+2.63%,31.53,29.01,1598734,"16:00 ET"
FF,"Futurefuel Corp",+7.46%,12.1,0.039999999999999,+0.33%,12.2,11.23,139802,"16:00 ET"
JBL,"Jabil Circuit",+7.38%,32.97,0.24,+0.73%,33.37,30.42,1117105,"16:00 ET"
ALLE,"Allegion Plc",+7.30%,103.98,0.15000000000001,+0.14%,105.43,97.29,746435,"16:02 ET"
WBA,"Walgreens Boots Alliance",+7.30%,37.21,0.93,+2.56%,37.28,33.88,7641369,"16:00 ET"
COO,"Cooper Companies",+7.16%,347.78,5.47,+1.60%,348.87,323.66,312926,"16:02 ET"
MATX,"Matson Inc",+7.15%,41.36,1.18,+2.94%,41.62,38.36,191650,"16:00 ET"
MYL,"Mylan NV Ord Shs",+7.14%,16.16,0.16,+1.00%,16.23,15.05,5107160,"16:00 ET"
CAMT,"Camtek Ltd",+7.13%,15.52,0.08,+0.52%,15.74,14.45,62052,"16:00 ET"
CUB,"Cubic Corp",+6.99%,45.71,0.32,+0.71%,46.18,42.5,271861,"16:00 ET"
CMP,"Compass Minerals Intl Inc",+6.99%,59.01,0.37,+0.63%,59.53,55.03,140851,"16:00 ET"
SNX,"Synnex Corp",+6.98%,132.67,0.55999999999997,+0.42%,133.64,122.85,327104,"16:00 ET"
PNR,"Pentair Ltd",+6.93%,46.42,0.54,+1.18%,46.64,43.46,976816,"16:03 ET"
ALC,"Alcon Inc",+6.86%,59.11,0.31,+0.53%,59.46,56.09,1481926,"16:00 ET"
VIAV,"Viavi Solutions",+6.71%,12.2,0.12,+0.99%,12.18,11.4,3170009,"16:00 ET"
GMAB,"Genmab A/S",+6.62%,37.57,0.27,+0.72%,37.67,35.33,446113,"16:00 ET"
COG,"Cabot Oil & Gas Corp",+6.37%,19.41,0.11,+0.57%,19.51,18.02,4300594,"16:02 ET"
TEVA,"Teva Pharmaceutical Industries Ltd",+6.28%,9.29,0.1,+1.09%,9.39,8.65,5703513,"16:00 ET"
VRTX,"Vertex Pharmaceutic",+6.20%,271.46,3.91,+1.46%,273.55,255.76,1279569,"16:00 ET"
IR,"Ingersoll Rand Inc.",+6.04%,37.19,0.26,+0.70%,37.63,35.03,2300054,"16:04 ET"
HEI.A,"Heico Cp Cl A",+5.98%,93.78,1.28,+1.38%,94.85,88.3,222045,"16:00 ET"
GM,"General Motors Company",+5.77%,31.92,0.13,+0.41%,33.14,29.87,14608493,"16:00 ET"
STE,"Steris Corp",+5.75%,171.51,1.35,+0.79%,171.89,161.62,505150,"16:00 ET"
FOR,"Forestar Group Inc",+5.61%,19.05,0.13,+0.69%,19.34,17.93,100783,"16:00 ET"
NVO,"Novo Nordisk A/S",+5.61%,69.57,1.61,+2.37%,69.75,65.87,853615,"16:00 ET"
SANM,"Sanmina Corp",+5.47%,27.75,0.079999999999998,+0.29%,28.11,26.3,433683,"16:00 ET"
SXT,"Sensient Technologies Corp",+5.46%,59.39,0.72,+1.23%,59.71,56.09,293626,"16:00 ET"
DD,"Du Pont De.Nemours Inc",+5.13%,60.77,0.6,+1.00%,60.98,57.63,3101508,"16:02 ET"
WTS,"Watts Water Technologies",+5.08%,102.97,0.95999999999999,+0.94%,103.39,97.87,167825,"16:00 ET"
GATX,"GATX Corp",+5.06%,65.88,1.18,+1.82%,66.13,62.28,174890,"16:00 ET"
MSI,"Motorola Solutions",+4.94%,158.18,1.09,+0.69%,158.99,151.6,1038630,"16:03 ET"
ST,"Sensata Technologies Holding N.V.",+4.93%,44.26,0.15,+0.34%,44.99,42.21,904789,"16:00 ET"
OSIS,"O S I Systems Inc",+4.87%,80.62,0.62,+0.78%,81.13,76.54,125787,"16:00 ET"
LDOS,"Leidos Holdings Inc",+4.87%,90.23,1.13,+1.27%,90.44,86.33,767423,"16:04 ET"
WHF,"Whitehorse Finance",+4.82%,10.89,0.040000000000001,+0.37%,10.94,10.32,122869,"16:00 ET"
NATI,"Natl Instruments Cor",+4.77%,36.97,0.2,+0.54%,37.07,35.27,635600,"16:00 ET"
NVT,"Nvent Electric Plc",+4.75%,18.97,0.28,+1.50%,19.09,18.04,1178405,"16:00 ET"
KFY,"Korn/Ferry International",+4.72%,29.92,0.87,+2.99%,30.14,28.54,306489,"16:00 ET"
TAK,"Takeda Pharmaceutical Co. Ltd",+4.70%,18.84,0.11,+0.59%,18.84,18.26,810636,"16:00 ET"
DKS,"Dick's Sporting Goods Inc",+4.69%,58.55,0.29,+0.50%,58.95,55.67,2275556,"16:00 ET"
ITW,"Illinois Tool Works Inc",+4.61%,200.94,1.44,+0.72%,201.54,192.36,923560,"16:00 ET"
BMI,"Badger Meter",+4.59%,63.98,0.12,+0.19%,64.79,61.33,143127,"16:00 ET"
FIVE,"Five Below Inc",+4.55%,134.16,0.090000000000003,+0.07%,135.74,127.25,864557,"16:00 ET"
NVEC,"Nve Corp",+4.50%,51.73,0.15,+0.29%,52.87,48.69,17874,"16:00 ET"
BG,"Bunge Ltd",+4.42%,47.33,0.82,+1.76%,47.42,45.01,934729,"16:00 ET"
HRI,"Herc Holdings Inc",+4.29%,42,0.16,+0.38%,42.61,39.83,108021,"16:00 ET"
MBT,"Mobile Telesystems",+4.26%,9.16,0.050000000000001,+0.55%,9.2,8.8,1983117,"16:00 ET"
EBIX,"Ebix Inc",+4.20%,20.61,0.2,+0.98%,20.84,19.51,194627,"16:00 ET"
LLY,"Eli Lilly and Company",+4.19%,152.47,1.51,+1.00%,152.68,146.88,3101412,"16:02 ET"
UTHR,"United Therapeutic",+4.12%,106.67,0.59,+0.56%,107.33,101.52,267982,"16:00 ET"
KNOP,"Knot Offshore Partners LP",+3.80%,13.13,0.15,+1.16%,13.17,12.59,106254,"16:00 ET"
JEQ,"Japan Equity Fund",+3.79%,8.15,0,0.00%,8.28,7.9,36137,"15:59 ET"
SO,"Southern Company",+3.77%,53.52,0.23,+0.43%,53.82,51.22,3374000,"16:03 ET"
LFUS,"Littelfuse Inc",+3.51%,179.75,1.03,+0.58%,182.37,173.68,54517,"16:00 ET"
IBM,"International Business Machines",+3.46%,124.92,0.7,+0.56%,125.82,120.73,3265138,"16:00 ET"
MWA,"Mueller Water Products",+3.45%,11.13,0.15,+1.37%,11.15,10.7,746644,"16:00 ET"
MWK,"Mohawk Group Holdings Inc",+3.26%,7.94,0.04,+0.51%,8.1,7.34,100273,"16:00 ET"
RS,"Reliance Steel & Aluminum Company",+3.08%,107.48,1.07,+1.01%,108.35,103.19,341225,"16:00 ET"
SVACU,"Starboard Value Acquisition Corp",+3.00%,10.3,0.050000000000001,+0.49%,10.88,10,N/A,"15:59 ET"
FSLF,"First Eagle Senior Loan Fund",+2.92%,12.7,0.049999999999999,+0.40%,12.73,12.31,26341,"16:00 ET"
GSA.U,"GS Acquisition Holdings Corp II WT [Gsah.U]",+2.85%,11.14,0.06,+0.53%,11.15,10.73,102865,"15:58 ET"
LSAC,"Lifesci Acquisition Corp",+2.71%,10.22,0.06,+0.59%,10.22,10,3940,09/17/20
PTR,"Petrochina Company Ltd",+2.45%,32.7,0.39,+1.21%,32.73,31.54,126250,"16:00 ET"
EMR,"Emerson Electric Company",+2.25%,69.09,0.41,+0.60%,69.54,67.23,2459661,"16:03 ET"
BAC-K,"Bank of America Corp [Bac/Pk]",+0.81%,27.37,0.02,+0.07%,27.41,27.15,83421,"15:59 ET"
"Downloaded from Barchart.com as of 09-17-2020 03:34pm CDT"
