,,,"American Association of Individual Investors 625 N. Michigan Ave., Chicago, IL. 60611; (312) 280-0170; www.aaii.com",,,,,,,,,
1-27-89,32.0%,49.0%,19.0%,100%,27.13%,13.0%,37.9%,48.0%,27.9%,293.82,284.50,293.82
2-3-89,33.0%,44.0%,23.0%,100%,29.13%,10.0%,37.9%,48.0%,27.9%,297.47,294.99,296.97
2-10-89,43.0%,31.0%,26.0%,100%,31.50%,17.0%,37.9%,48.0%,27.9%,299.63,292.02,292.02
2-17-89,42.0%,41.0%,17.0%,100%,34.00%,25.0%,37.9%,48.0%,27.9%,296.76,291.81,296.76
2-24-89,29.0%,45.0%,26.0%,100%,34.63%,3.0%,37.9%,48.0%,27.9%,295.98,287.13,287.13
3-3-89,29.0%,35.0%,36.0%,100%,35.00%,-7.0%,37.9%,48.0%,27.9%,291.18,287.11,291.18
3-10-89,13.0%,52.0%,35.0%,100%,32.13%,-22.0%,37.9%,48.0%,27.9%,294.81,292.88,292.88
3-17-89,28.0%,43.0%,29.0%,100%,31.13%,-1.0%,37.9%,48.0%,27.9%,299.44,292.69,292.69
3-23-89,29.0%,41.0%,30.0%,100%,30.75%,-1.0%,37.9%,48.0%,27.9%,291.33,288.98,288.98
3-31-89,18.0%,42.0%,40.0%,100%,28.88%,-22.0%,37.9%,48.0%,27.9%,294.87,290.57,294.87
4-7-89,23.0%,45.0%,32.0%,100%,26.38%,-9.0%,37.9%,48.0%,27.9%,297.16,295.29,297.16
4-14-89,25.0%,42.0%,33.0%,100%,24.25%,-8.0%,37.9%,48.0%,27.9%,301.36,297.11,301.36
4-21-89,21.0%,51.0%,28.0%,100%,23.25%,-7.0%,37.9%,48.0%,27.9%,309.61,301.72,309.61
4-28-89,31.0%,40.0%,29.0%,100%,23.50%,2.0%,37.9%,48.0%,27.9%,309.64,306.75,309.64
5-5-89,30.0%,40.0%,30.0%,100%,25.63%,0.0%,37.9%,48.0%,27.9%,309.12,307.61,307.61
5-12-89,38.0%,43.0%,19.0%,100%,26.88%,19.0%,37.9%,48.0%,27.9%,313.84,305.19,313.84
5-19-89,43.0%,38.0%,19.0%,100%,28.63%,24.0%,37.9%,48.0%,27.9%,321.24,315.28,321.24
5-26-89,48.0%,31.0%,21.0%,100%,32.38%,27.0%,37.9%,48.0%,27.9%,321.98,318.32,321.59
6-2-89,42.0%,27.0%,31.0%,100%,34.75%,11.0%,37.9%,48.0%,27.9%,325.52,319.05,325.52
6-9-89,43.0%,34.0%,23.0%,100%,37.00%,20.0%,37.9%,48.0%,27.9%,326.95,322.03,326.69
6-16-89,32.0%,37.0%,31.0%,100%,38.38%,1.0%,37.9%,48.0%,27.9%,326.24,320.08,321.35
6-23-89,33.0%,22.0%,45.0%,100%,38.63%,-12.0%,37.9%,48.0%,27.9%,328.00,320.48,328.00
6-30-89,40.0%,34.0%,26.0%,100%,39.88%,14.0%,37.9%,48.0%,27.9%,328.44,317.98,317.98
7-7-89,37.0%,32.0%,31.0%,100%,39.75%,6.0%,37.9%,48.0%,27.9%,324.91,319.23,324.91
7-14-89,22.0%,30.0%,48.0%,100%,37.13%,-26.0%,37.9%,48.0%,27.9%,331.84,327.07,331.84
7-21-89,32.0%,39.0%,29.0%,100%,35.13%,3.0%,37.9%,48.0%,27.9%,335.90,331.35,335.90
7-28-89,41.0%,25.0%,34.0%,100%,35.00%,7.0%,37.9%,48.0%,27.9%,342.15,333.67,342.15
8-4-89,35.0%,30.0%,35.0%,100%,34.00%,0.0%,37.9%,48.0%,27.9%,346.08,343.75,343.92
8-11-89,53.0%,21.0%,26.0%,100%,36.63%,27.0%,37.9%,48.0%,27.9%,349.41,344.74,344.74
8-18-89,35.0%,28.0%,37.0%,100%,36.88%,-2.0%,37.9%,48.0%,27.9%,346.03,343.06,346.03
8-25-89,45.0%,24.0%,31.0%,100%,37.50%,14.0%,37.9%,48.0%,27.9%,351.52,340.67,350.52
