ticker,52WeekChange_imputed,Avg Volume_imputed,Beta_imputed,Cash/sh_imputed,Current Ratio_imputed,Debt/Eq_imputed,EPS next 5Y_imputed,EPS next Q_imputed,EPS next Y_imputed,Employees_imputed,Forward P/E_imputed,Insider Own_imputed,Insider Trans_imputed,LT Debt/Eq_imputed,Market Cap_imputed,P/E_imputed,P/FCF_imputed,Perf Half Y_imputed,Perf Month_imputed,Perf Quarter_imputed,Quick Ratio_imputed,Recom_imputed,Sales Q/Q_imputed,SandP52WeekChange_imputed,Short Ratio_imputed,ask_imputed,dayHigh_imputed,enterpriseToEbitda_imputed,fiftyDayAverage_imputed,fiftyTwoWeekLow_imputed,forwardPE_imputed,open_imputed,pegRatio_imputed,previousClose_imputed,priceToSalesTrailing12Months_imputed,regularMarketDayHigh_imputed,regularMarketDayLow_imputed,regularMarketOpen_imputed,regularMarketPreviousClose_imputed,regularMarketPrice_imputed,shortRatio_imputed,twoHundredDayAverage_imputed
CANF,0.5463917,1190000000.0,0.99,0.0,0.1,0.0,0.2,-0.41,-0.536,8.0,12.33,0.001,0.0,0.0,27970000000.0,3.64,0.07,1.3781,-0.2682,-0.2146,0.1,2.0,-0.115,0.11079204,0.29,2.24,0.75,-4.081,0.7605343,1.5,17.275,3.15,0.01,4.08,0.06942094,0.75,2.66,3.15,4.08,0.55,0.04,12.840109
MTP,0.5463917,1190000000.0,1.59,0.0,0.1,0.0,0.2,-0.41,0.159,65.0,12.33,0.059000000000000004,0.0,0.0,27970000000.0,3.64,0.22,1.3781,-0.095,0.33549999999999996,0.1,2.0,-0.987,0.11079204,0.02,1.74,0.75,-4.081,0.7605343,1.92,17.275,1.85,-0.04,4.08,0.06942094,0.75,2.66,1.85,4.08,1.85,0.04,12.840109
SEEL,0.5463917,1100000000.0,2.07,0.12,2.1,0.0,0.2,-0.08,0.159,6.0,12.33,0.001,0.0,0.0,27970000000.0,3.64,0.22,-0.3098,1.7558,1.3784999999999998,2.1,2.0,0.0,0.11079204,0.17,0.5088,0.75,-4.081,0.7605343,0.25,17.275,0.55,0.01,4.08,0.06942094,0.75,2.66,0.55,4.08,0.55,0.04,12.840109
ACB,-0.88707536,3650000000.0,1.59,0.0,1.2,0.0,0.2,-0.1,-0.536,2731.0,12.33,0.028999999999999998,0.0,0.0,846530000000.0,23.29,0.22,-0.3607,-0.26780000000000004,-0.49219999999999997,1.2,2.0,0.159,0.15022206,4.36,7.63,8.25,-4.081,10.142571,5.3,17.275,8.18,0.01,8.51,0.06942094,8.25,7.51,8.18,8.51,8.18,7.54,11.355957
AUTO,0.50709224,2230000000.0,2.56,0.07,1.4,0.51,0.25,-0.1,0.627,171.0,12.33,0.2636,0.0,0.05,44930000000.0,102.44,0.22,0.7286,0.9656999999999999,1.2631999999999999,1.4,1.7,-0.373,0.15022206,0.9,3.45,4.07,-14.782,2.5651429,0.5,-15.636364,4.01,-0.29,4.25,0.4674901,4.07,3.42,4.01,4.25,4.01,0.72,1.5297102
BIOC,-0.39080465,2730000000.0,0.92,1.82,5.2,0.1,0.4,-0.47,0.3,88.0,12.33,0.0003,-0.023399999999999997,0.05,649700000000.0,102.44,0.22,0.24539999999999998,-0.5624,-0.17800000000000002,5.0,2.0,-0.25,0.15022206,0.15,4.54,4.84,-2.193,0.78114283,0.21,-31.571428,4.605,-0.07,5.318,10.427793,4.84,4.27,4.605,5.318,4.605,0.16,0.5494928
CNTY,-0.21559632,1550000000.0,2.89,1.68,1.0,4.82,0.25,0.07,1.234,2786.0,10.41,0.012,2.6471,4.61,179960000000.0,102.44,0.22,0.3233,0.30920000000000003,0.09449999999999999,1.0,2.0,-0.311,0.15022206,2.83,6.3,6.73,21.037,5.2937145,1.01,13.644444,6.73,-0.14,6.84,0.74995196,6.73,6.1,6.73,6.84,6.73,2.99,4.4852176
CPE,-0.8654661,3400000000.0,2.94,0.19,0.3,1.78,0.2,0.08,0.46490000000000004,475.0,1.77,0.02,1.8933000000000002,1.78,220870000000.0,102.44,0.22,0.1449,-0.4606,-0.6968000000000001,0.3,3.1,-0.059000000000000004,0.15022206,3.29,5.64,6.19,5.716,9.580571,3.8,1.2926267,6.12,-0.05,6.35,0.27761218,6.19,5.6,6.12,6.35,6.12,2.79,9.824782
CRBP,0.7257463,1820000000.0,1.92,0.75,2.1,0.0,0.2,-0.42,0.023,141.0,12.33,0.004,0.08070000000000001,0.0,184780000000.0,102.44,0.22,-0.5099,-0.6626000000000001,-0.6819,2.1,2.7,-0.99,0.15022206,3.99,2.29,2.45,-5.879,7.5274286,1.95,-1.2890173,2.23,0.01,9.25,25.266964,2.45,1.95,2.23,9.25,2.23,9.07,6.6025
DBI,-0.5888563,2029999999.9999998,1.97,3.02,1.2,0.97,0.14679999999999999,-0.43,1.4040000000000001,28.0,8.29,0.021,0.34159999999999996,0.97,430810000000.0,102.44,0.22,-0.4894,-0.107,-0.2755,0.5,2.9,-0.447,0.15022206,4.42,6.42,6.93,-8.716,6.7768574,2.6,9.781251,6.82,-0.13,7.01,0.16498578,6.93,6.25,6.82,7.01,6.82,4.84,6.9983335
EVFM,-0.3129921,4070000000.0000005,0.36,1.63,2.1,0.65,0.2,-0.44,0.467,53.0,12.33,0.02,-0.9129,0.0,259310000000.0,102.44,0.22,-0.40869999999999995,0.061399999999999996,-0.07719999999999999,2.0,2.0,0.0,0.15022206,2.85,3.12,3.46,-3.057,3.0934286,2.73,-2.9619048,3.39,-0.02,3.49,0.06942094,3.46,3.09,3.39,3.49,3.39,1.33,4.1342754
GEVO,-0.63522017,33729999999.999996,2.74,0.08,0.7,0.26,0.25,-0.1,0.8370000000000001,57.0,15.7,0.066,0.0,0.01,72620000000.0,102.44,0.22,-0.0877,0.7888,-0.2353,0.6,2.0,-0.804,0.15022206,0.1,1.04,1.11,-3.486,0.8157143,0.46,-6.5,1.08,-0.04,1.16,4.42183,1.11,1.03,1.08,1.16,1.08,0.36,0.9993478
GFF,0.15347338,1360000000.0,2.29,1.34,2.3,2.23,0.2041,0.39,0.0305,7300.0,14.56,0.037000000000000005,-0.19140000000000001,2.21,1040000000.0,20.55,14.34,0.1704,-0.21780000000000002,-0.046900000000000004,1.3,1.5,0.099,0.15022206,5.13,23.6,21.13,9.296,21.956858,9.15,11.748427,21.13,0.68,21.42,0.45174444,21.13,18.67,21.13,21.42,21.13,5.75,17.579638
GMBL,-0.47859573,1190000000.0,0.99,0.0,0.0,0.0,0.2,-0.1,0.0,299.0,12.33,0.001,0.0,0.0,43380000000.0,3.64,0.22,1.3781,-0.2833,-0.4267,0.0,2.0,0.0,0.15022206,0.72,4.04,4.23,-18.938,5.463857,2.4,17.275,4.21,0.01,4.3,5.778923,4.23,3.8,4.21,4.3,4.21,1.15,5.0988436
HUSA,-0.564,2830000000.0,0.4,0.37,9.7,0.0,0.2,-0.1,0.0,2.0,12.33,0.001,0.0,0.0,7560000000.0,102.44,0.22,-0.39270000000000005,-0.3333,-0.5494,9.7,2.0,-0.5,0.15022206,0.18,0.97,1.0602,-4.401,1.4691429,0.94,17.275,1.06,-0.04,1.09,8.938519,1.0602,0.94,1.06,1.09,1.06,0.68,1.6180797
ICD,-0.90174824,1550000000.0,7.47,3.35,1.6,0.49,0.07,-3.2,0.11199999999999999,650.0,12.33,0.011000000000000001,-0.0182,0.46,12180000000.0,102.44,0.22,-0.5867,-0.2177,-0.6149,1.5,3.0,0.0,0.15022206,0.35,2.49,2.81,6.642,3.2108572,1.08,-0.25514403,2.81,-0.04,2.81,0.08548391,2.81,2.45,2.81,2.81,2.81,0.24,4.6883335
LPI,-0.7408273,1550000000.0,4.63,1.32,1.6,3.35,-0.0934,3.1,-0.019799999999999998,6600.0,1.04,0.031,0.0,3.35,152920000000.0,102.44,0.3,-0.2846,-0.20199999999999999,-0.4833,1.6,2.7,-0.489,0.15022206,2.26,13.05,13.9276,2.413,15.831715,6.6,1.3918772,13.85,-0.17,14.41,0.20915076,13.9276,12.61,13.85,14.41,13.85,2.01,15.099058
MARA,0.14207637,17010000000.000002,2.9,0.03,6.3,0.0,0.5,-0.08,0.0,3.0,15.7,0.036699999999999997,0.0,0.01,59570000000.0,102.44,0.22,1.5,-0.5776,1.0556,6.3,2.0,-0.25,0.15022206,0.2,1.86,2.065,-19.394,2.678857,0.35,9.25,1.81,0.01,2.09,40.249023,2.065,1.79,1.81,2.09,1.81,0.12,1.2207971
NAKD,-0.94665074,10570000000.0,1.59,0.02,0.6,0.0,0.2,-0.06,0.0,260.0,12.33,0.10640000000000001,0.0,0.0,8930000000.0,3.64,0.22,-0.5852,-0.5427000000000001,-0.8826,0.2,3.0,-0.33,0.15022206,0.04,0.2,0.222,-4.081,0.38454285,0.1,17.275,0.222,0.01,0.223,0.06942094,0.222,0.1812,0.222,0.223,0.222,0.08,0.551079
NCMI,-0.43349755,1550000000.0,1.29,3.18,4.4,0.0,-0.0633,-0.15,1.913,531.0,70.83,0.003,0.0,0.0,252250000000.0,18.48,1.5,-0.2591,0.36700000000000005,0.16,4.4,2.7,-0.9640000000000001,0.15022206,7.89,4.07,4.6896,14.304,3.1537144,1.62,101.5,4.46,1.91,4.6,0.9930121,4.6896,4.0225,4.46,4.6,4.46,11.26,3.4759421
NEX,-0.58557045,1270000000.0,3.4,1.65,2.5,0.48,0.2,-0.39,0.203,6525.0,15.7,0.017,0.0,0.47,483240000000.0,102.44,4.32,0.0728,-0.2107,-0.37920000000000004,2.3,2.3,-0.541,0.15022206,2.94,2.25,2.44,2.679,2.7214286,0.7,17.275,2.38,0.01,2.47,0.26373136,2.44,2.17,2.38,2.47,2.38,0.08,2.5371015
OII,-0.6465116,1410000000.0,3.53,3.63,2.5,1.3,0.2,-0.15,-0.28300000000000003,9100.0,1.77,0.013000000000000001,0.0933,1.3,466510000000.0,102.44,0.22,0.0263,-0.201,-0.4301,2.1,2.5,-0.138,0.15022206,2.23,4.73,5.19,13.6,5.6874285,0.25,-6.897059,5.16,-0.08,5.32,0.23025501,5.19,4.69,5.16,5.32,5.16,0.08,5.625
PEI,-0.8246528,1940000000.0,2.18,0.5,1.2,5.31,0.01,-0.36,-0.128,233.0,12.33,0.023,0.0,5.31,70540000000.0,102.44,0.22,-0.3799,-0.1378,-0.5648,0.5,3.5,-0.302,0.15022206,11.0,0.9054,0.98,14.153,1.1351429,0.8,-0.7360163,0.95,-0.91,1.01,0.24018908,0.98,0.86,0.95,1.01,0.95,0.17,1.3135507
PLM,0.2571429,2910000000.0,0.56,0.07,1.2,0.07,0.2,-0.01,0.0,21.0,12.33,0.22,0.0,0.07,231840000000.0,102.44,0.22,0.28350000000000003,-0.242,-0.23329999999999998,1.2,2.0,0.0,0.15022206,0.23,3.66,4.0788,-32.097,4.336571,1.5,-122.66667,4.01,-1.99,4.4,0.06942094,4.0788,3.5,4.01,4.4,4.01,0.26,3.3186955
RENN,-0.45348895,1550000000.0,1.53,0.25,0.7,0.3,0.2,-0.1,0.0,820.0,12.33,0.5007,0.0,0.0,32130000000.000004,102.44,0.22,0.1812,-0.563,-0.7484000000000001,0.5,2.0,1.995,0.15022206,1.68,1.16,1.4,-0.79,2.5114286,0.45,-1.6164383,1.4,-0.04,1.41,0.10345507,1.4,1.08,1.4,1.41,1.4,2.09,2.3144927
RETO,-0.3240741,1190000000.0,1.59,0.0,0.1,0.0,0.2,-0.06,-0.536,235.0,12.33,0.5044,0.0,0.0,14840000000.0,3.64,0.22,-0.1067,-0.2591,-0.3064,0.1,3.0,-0.033,0.15022206,0.04,0.6519,0.6599,11.973,0.8087429,0.3,17.275,0.6111,0.01,0.73,0.3934893,0.6599,0.56,0.6111,0.73,0.6111,0.04,0.80052173
RIG,-0.7559198,28460000000.0,2.39,2.53,2.1,0.82,0.048,-0.14,-0.267,6600.0,1.77,0.0575,0.0005,0.77,566100000000.0,102.44,0.22,-0.4396,-0.5446,-0.6434000000000001,1.8,3.6,0.22699999999999998,0.15022206,4.44,1.02,1.24,7.574,1.8534286,0.76,-0.93577975,1.23,-0.32,1.34,0.19200772,1.24,1.01,1.23,1.34,1.23,4.92,1.7742753
SBBP,0.22996521,1550000000.0,1.72,0.9,3.4,0.15,0.2,-0.14,0.16899999999999998,71.0,12.33,0.015,0.0,0.14,156740000000.0,102.44,0.22,0.1371,-0.295,-0.2145,3.3,1.4,0.27899999999999997,0.15022206,1.53,2.82,3.37,-2.935,3.7322857,1.43,-5.7551017,3.22,-0.3,3.53,5.9587903,3.37,2.74,3.22,3.53,3.22,1.68,3.1006522
SLCA,-0.5794481,1500000000.0,2.83,2.21,2.1,2.07,0.2,-0.35,-0.069,2177.0,1.77,0.036000000000000004,0.0908,2.01,278480000000.0,102.44,0.22,1.3937,-0.0279,-0.0815,1.6,3.1,-0.563,0.15022206,7.73,3.83,4.295,11.648,3.9974287,0.79,-3.5462961,4.25,0.01,4.42,0.24759263,4.295,3.8,4.25,4.42,4.25,0.08,2.9974637
TMDI,-0.5952381,2370000000.0,1.59,0.0,1.0,0.0,0.2,-0.1,0.0,2.0,12.33,0.0017000000000000001,0.0,0.0,61140000000.0,3.64,0.22,1.7778,-0.0674,-0.4,0.1,2.0,-0.033,0.15022206,1.57,0.7401,0.8377,-2.65,0.8305714,0.12,17.275,0.8,-0.04,0.8454,5.778923,0.8377,0.714,0.8,0.8454,0.8,0.6,0.5713043
VET,-0.7783344,1250000000.0,1.59,0.0,0.1,0.0,0.22760000000000002,0.11,0.35600000000000004,8.0,4.66,0.022799999999999997,0.0,0.0,497060000000.0,3.64,0.22,-0.2748,-0.2991,-0.5462,0.1,2.0,-0.547,0.15022206,0.03,3.14,3.42,-4.081,4.3234286,1.5,5.147541,3.41,3.96,3.54,0.06942094,3.42,3.13,3.41,3.54,3.41,5.47,4.8526087
VUZI,0.9511111,2530000000.0,2.15,0.29,8.1,0.06,0.2,-0.13,0.214,88.0,15.7,0.065,0.0,0.03,162010000000.0,102.44,0.22,1.837,-0.0425,0.6437999999999999,5.9,2.2,0.364,0.15022206,2.03,3.89,4.38,-7.272,3.923143,0.86,-8.704545,4.18,-0.39,4.39,19.451437,4.38,3.82,4.18,4.39,4.18,2.09,2.5076087
VVPR,7.536764,2310000000.0,4.95,0.24,1.0,1.46,0.2,-0.1,0.0,204.0,15.7,0.8128,0.0,1.39,102840000000.0,102.44,9.02,9.3957,3.7415,6.4769000000000005,1.3,2.0,0.625,0.15022206,0.04,9.82,13.75,29.996,3.6542,0.59,17.275,10.37,-0.04,11.61,1.9804318,13.75,9.5,10.37,11.61,10.37,0.2,1.717442
ACB,-0.88707536,3650000000.0,1.59,0.0,1.2,0.0,0.2,-0.1,-0.536,2731.0,12.33,0.028999999999999998,0.0,0.0,846530000000.0,23.29,0.22,-0.3607,-0.26780000000000004,-0.49219999999999997,1.2,2.0,0.159,0.15022206,4.36,7.63,8.25,-4.081,10.142571,5.3,17.275,8.18,0.01,8.51,0.06942094,8.25,7.51,8.18,8.51,8.18,7.54,11.355957
AUTO,0.50709224,2230000000.0,2.56,0.07,1.4,0.51,0.25,-0.1,0.627,171.0,12.33,0.2636,0.0,0.05,44930000000.0,102.44,0.22,0.7286,0.9656999999999999,1.2631999999999999,1.4,1.7,-0.373,0.15022206,0.9,3.45,4.07,-14.782,2.5651429,0.5,-15.636364,4.01,-0.29,4.25,0.4674901,4.07,3.42,4.01,4.25,4.01,0.72,1.5297102
BIOC,-0.39080465,2730000000.0,0.92,1.82,5.2,0.1,0.4,-0.47,0.3,88.0,12.33,0.0003,-0.023399999999999997,0.05,649700000000.0,102.44,0.22,0.24539999999999998,-0.5624,-0.17800000000000002,5.0,2.0,-0.25,0.15022206,0.15,4.54,4.84,-2.193,0.78114283,0.21,-31.571428,4.605,-0.07,5.318,10.427793,4.84,4.27,4.605,5.318,4.605,0.16,0.5494928
CNTY,-0.21559632,1550000000.0,2.89,1.68,1.0,4.82,0.25,0.07,1.234,2786.0,10.41,0.012,2.6471,4.61,179960000000.0,102.44,0.22,0.3233,0.30920000000000003,0.09449999999999999,1.0,2.0,-0.311,0.15022206,2.83,6.3,6.73,21.037,5.2937145,1.01,13.644444,6.73,-0.14,6.84,0.74995196,6.73,6.1,6.73,6.84,6.73,2.99,4.4852176
CPE,-0.8654661,3400000000.0,2.94,0.19,0.3,1.78,0.2,0.08,0.46490000000000004,475.0,1.77,0.02,1.8933000000000002,1.78,220870000000.0,102.44,0.22,0.1449,-0.4606,-0.6968000000000001,0.3,3.1,-0.059000000000000004,0.15022206,3.29,5.64,6.19,5.716,9.580571,3.8,1.2926267,6.12,-0.05,6.35,0.27761218,6.19,5.6,6.12,6.35,6.12,2.79,9.824782
CRBP,0.7257463,1820000000.0,1.92,0.75,2.1,0.0,0.2,-0.42,0.023,141.0,12.33,0.004,0.08070000000000001,0.0,184780000000.0,102.44,0.22,-0.5099,-0.6626000000000001,-0.6819,2.1,2.7,-0.99,0.15022206,3.99,2.29,2.45,-5.879,7.5274286,1.95,-1.2890173,2.23,0.01,9.25,25.266964,2.45,1.95,2.23,9.25,2.23,9.07,6.6025
DBI,-0.5888563,2029999999.9999998,1.97,3.02,1.2,0.97,0.14679999999999999,-0.43,1.4040000000000001,28.0,8.29,0.021,0.34159999999999996,0.97,430810000000.0,102.44,0.22,-0.4894,-0.107,-0.2755,0.5,2.9,-0.447,0.15022206,4.42,6.42,6.93,-8.716,6.7768574,2.6,9.781251,6.82,-0.13,7.01,0.16498578,6.93,6.25,6.82,7.01,6.82,4.84,6.9983335
EVFM,-0.3129921,4070000000.0000005,0.36,1.63,2.1,0.65,0.2,-0.44,0.467,53.0,12.33,0.02,-0.9129,0.0,259310000000.0,102.44,0.22,-0.40869999999999995,0.061399999999999996,-0.07719999999999999,2.0,2.0,0.0,0.15022206,2.85,3.12,3.46,-3.057,3.0934286,2.73,-2.9619048,3.39,-0.02,3.49,0.06942094,3.46,3.09,3.39,3.49,3.39,1.33,4.1342754
GEVO,-0.63522017,33729999999.999996,2.74,0.08,0.7,0.26,0.25,-0.1,0.8370000000000001,57.0,15.7,0.066,0.0,0.01,72620000000.0,102.44,0.22,-0.0877,0.7888,-0.2353,0.6,2.0,-0.804,0.15022206,0.1,1.04,1.11,-3.486,0.8157143,0.46,-6.5,1.08,-0.04,1.16,4.42183,1.11,1.03,1.08,1.16,1.08,0.36,0.9993478
GFF,0.15347338,1360000000.0,2.29,1.34,2.3,2.23,0.2041,0.39,0.0305,7300.0,14.56,0.037000000000000005,-0.19140000000000001,2.21,1040000000.0,20.55,14.34,0.1704,-0.21780000000000002,-0.046900000000000004,1.3,1.5,0.099,0.15022206,5.13,23.6,21.13,9.296,21.956858,9.15,11.748427,21.13,0.68,21.42,0.45174444,21.13,18.67,21.13,21.42,21.13,5.75,17.579638
GMBL,-0.47859573,1190000000.0,0.99,0.0,0.0,0.0,0.2,-0.1,0.0,299.0,12.33,0.001,0.0,0.0,43380000000.0,3.64,0.22,1.3781,-0.2833,-0.4267,0.0,2.0,0.0,0.15022206,0.72,4.04,4.23,-18.938,5.463857,2.4,17.275,4.21,0.01,4.3,5.778923,4.23,3.8,4.21,4.3,4.21,1.15,5.0988436
HUSA,-0.564,2830000000.0,0.4,0.37,9.7,0.0,0.2,-0.1,0.0,2.0,12.33,0.001,0.0,0.0,7560000000.0,102.44,0.22,-0.39270000000000005,-0.3333,-0.5494,9.7,2.0,-0.5,0.15022206,0.18,0.97,1.0602,-4.401,1.4691429,0.94,17.275,1.06,-0.04,1.09,8.938519,1.0602,0.94,1.06,1.09,1.06,0.68,1.6180797
ICD,-0.90174824,1550000000.0,7.47,3.35,1.6,0.49,0.07,-3.2,0.11199999999999999,650.0,12.33,0.011000000000000001,-0.0182,0.46,12180000000.0,102.44,0.22,-0.5867,-0.2177,-0.6149,1.5,3.0,0.0,0.15022206,0.35,2.49,2.81,6.642,3.2108572,1.08,-0.25514403,2.81,-0.04,2.81,0.08548391,2.81,2.45,2.81,2.81,2.81,0.24,4.6883335
LPI,-0.7408273,1550000000.0,4.63,1.32,1.6,3.35,-0.0934,3.1,-0.019799999999999998,6600.0,1.04,0.031,0.0,3.35,152920000000.0,102.44,0.3,-0.2846,-0.20199999999999999,-0.4833,1.6,2.7,-0.489,0.15022206,2.26,13.05,13.9276,2.413,15.831715,6.6,1.3918772,13.85,-0.17,14.41,0.20915076,13.9276,12.61,13.85,14.41,13.85,2.01,15.099058
MARA,0.14207637,17010000000.000002,2.9,0.03,6.3,0.0,0.5,-0.08,0.0,3.0,15.7,0.036699999999999997,0.0,0.01,59570000000.0,102.44,0.22,1.5,-0.5776,1.0556,6.3,2.0,-0.25,0.15022206,0.2,1.86,2.065,-19.394,2.678857,0.35,9.25,1.81,0.01,2.09,40.249023,2.065,1.79,1.81,2.09,1.81,0.12,1.2207971
NAKD,-0.94665074,10570000000.0,1.59,0.02,0.6,0.0,0.2,-0.06,0.0,260.0,12.33,0.10640000000000001,0.0,0.0,8930000000.0,3.64,0.22,-0.5852,-0.5427000000000001,-0.8826,0.2,3.0,-0.33,0.15022206,0.04,0.2,0.222,-4.081,0.38454285,0.1,17.275,0.222,0.01,0.223,0.06942094,0.222,0.1812,0.222,0.223,0.222,0.08,0.551079
NCMI,-0.43349755,1550000000.0,1.29,3.18,4.4,0.0,-0.0633,-0.15,1.913,531.0,70.83,0.003,0.0,0.0,252250000000.0,18.48,1.5,-0.2591,0.36700000000000005,0.16,4.4,2.7,-0.9640000000000001,0.15022206,7.89,4.07,4.6896,14.304,3.1537144,1.62,101.5,4.46,1.91,4.6,0.9930121,4.6896,4.0225,4.46,4.6,4.46,11.26,3.4759421
NEX,-0.58557045,1270000000.0,3.4,1.65,2.5,0.48,0.2,-0.39,0.203,6525.0,15.7,0.017,0.0,0.47,483240000000.0,102.44,4.32,0.0728,-0.2107,-0.37920000000000004,2.3,2.3,-0.541,0.15022206,2.94,2.25,2.44,2.679,2.7214286,0.7,17.275,2.38,0.01,2.47,0.26373136,2.44,2.17,2.38,2.47,2.38,0.08,2.5371015
OII,-0.6465116,1410000000.0,3.53,3.63,2.5,1.3,0.2,-0.15,-0.28300000000000003,9100.0,1.77,0.013000000000000001,0.0933,1.3,466510000000.0,102.44,0.22,0.0263,-0.201,-0.4301,2.1,2.5,-0.138,0.15022206,2.23,4.73,5.19,13.6,5.6874285,0.25,-6.897059,5.16,-0.08,5.32,0.23025501,5.19,4.69,5.16,5.32,5.16,0.08,5.625
PEI,-0.8246528,1940000000.0,2.18,0.5,1.2,5.31,0.01,-0.36,-0.128,233.0,12.33,0.023,0.0,5.31,70540000000.0,102.44,0.22,-0.3799,-0.1378,-0.5648,0.5,3.5,-0.302,0.15022206,11.0,0.9054,0.98,14.153,1.1351429,0.8,-0.7360163,0.95,-0.91,1.01,0.24018908,0.98,0.86,0.95,1.01,0.95,0.17,1.3135507
