ticker,52W Low_imputed,52WeekChange_imputed,Avg Volume_imputed,Change_imputed,EPS next 5Y_imputed,EPS next Y_imputed,EPS past 5Y_imputed,Insider Own_imputed,Insider Trans_imputed,Inst Trans_imputed,Perf Half Y_imputed,Perf Month_imputed,Perf Week_imputed,Perf YTD_imputed,ROI_imputed,SMA20_imputed,SMA200_imputed,SMA50_imputed,Sales Q/Q_imputed,SandP52WeekChange_imputed,ask_imputed,bid_imputed,dayHigh_imputed,dayLow_imputed,enterpriseToEbitda_imputed,enterpriseToRevenue_imputed,fiftyDayAverage_imputed,fiftyTwoWeekLow_imputed,forwardEps_imputed,forwardPE_imputed,open_imputed,pegRatio_imputed,priceToSalesTrailing12Months_imputed,regularMarketDayHigh_imputed,regularMarketDayLow_imputed,regularMarketOpen_imputed,shortRatio_imputed,trailingEps_imputed,twoHundredDayAverage_imputed,ATR_imputed,Beta_imputed,Cash/sh_imputed,Current Ratio_imputed,Debt/Eq_imputed,EPS next Q_imputed,Employees_imputed,Forward P/E_imputed,LT Debt/Eq_imputed,P/B_imputed,P/E_imputed,P/S_imputed,Quick Ratio_imputed,Recom_imputed,Rel Volume_imputed,Short Ratio_imputed
AUTO,5.88,0.50709224,1550000000.0,-0.1906,0.25,0.627,-0.423,0.2636,0.0,-0.161,0.7286,0.9656999999999999,-0.3594,0.39270000000000005,-0.619,0.0335,0.9041,0.585,-0.373,0.15022206,3.45,3.5,4.07,3.42,-14.782,0.647,2.5651429,0.5,-0.22,-15.636364,4.01,-0.29,0.4674901,4.07,3.42,4.01,0.08,-0.792,1.5297102,0.41,2.56,0.07,1.4,0.51,-0.1,171.0,0.19,0.05,2.94,3.64,0.53,1.4,1.7,0.59,0.9
BIOC,1.0928,-0.39080465,2730000000.0,-0.1689,0.4,0.3,0.679,0.0003,-0.023399999999999997,0.7431,0.24539999999999998,-0.5624,-0.3353,0.5455,-1.787,-0.4335,-0.0947,-0.41609999999999997,-0.25,0.15022206,4.54,4.46,4.84,4.27,-2.193,8.861,0.78114283,0.21,-0.14,-31.571428,4.605,-0.07,10.427793,4.84,4.27,4.605,0.16,-4.112,0.5494928,0.42,0.92,1.82,5.2,0.1,-0.47,88.0,0.19,0.05,2.33,3.64,11.09,5.0,2.0,0.26,0.15
CNTY,5.0792,-0.21559632,1550000000.0,-0.1023,0.25,1.234,-0.22820000000000001,0.012,2.6471,-0.0922,0.3233,0.30920000000000003,-0.0016,-0.22469999999999998,-0.015,0.0070999999999999995,0.09390000000000001,0.2619,-0.311,0.15022206,6.3,6.14,6.73,6.1,21.037,2.731,5.2937145,1.01,0.45,13.644444,6.73,-0.14,0.74995196,6.73,6.1,6.73,2.99,-2.652,4.4852176,0.37,2.89,1.68,1.0,4.82,0.07,2786.0,10.41,4.61,1.63,3.64,0.68,1.0,2.0,0.46,2.83
CPE,0.4763,-0.8654661,3400000000.0,-0.1165,0.2,0.46490000000000004,-0.182,0.02,1.8933000000000002,-0.4542,0.1449,-0.4606,-0.15380000000000002,-0.8839,0.021,-0.2725,-0.6998000000000001,-0.4483,-0.059000000000000004,0.15022206,5.64,5.64,6.19,5.6,5.716,4.831,9.580571,3.8,4.34,1.2926267,6.12,-0.05,0.27761218,6.19,5.6,6.12,2.79,-41.727,9.824782,0.47,2.94,0.19,0.3,1.78,0.08,475.0,1.77,1.78,0.11,3.64,0.25,0.3,3.1,0.96,3.29
CRBP,-0.3222,0.7257463,1820000000.0,-0.7589,0.2,0.023,-0.619,0.004,0.08070000000000001,0.2796,-0.5099,-0.6626000000000001,-0.7598,-0.5916,-0.038,-0.725,-0.6485,-0.7054,-0.99,0.15022206,2.29,2.26,2.45,1.95,-5.879,97.198,7.5274286,1.95,-1.73,-1.2890173,2.23,0.01,25.266964,2.45,1.95,2.23,9.07,-1.695,6.6025,0.45,1.92,0.75,2.1,0.0,-0.42,141.0,0.19,0.0,1.82,3.64,14.07,2.1,2.7,0.76,3.99
DBI,1.4077000000000002,-0.5888563,2029999999.9999998,-0.107,0.14679999999999999,1.4040000000000001,-0.055999999999999994,0.021,0.34159999999999996,-0.0301,-0.4894,-0.107,-0.1121,-0.6023,0.11199999999999999,-0.1192,-0.3543,-0.0542,-0.447,0.15022206,6.42,6.26,6.93,6.25,-8.716,0.626,6.7768574,2.6,0.64,9.781251,6.82,-0.13,0.16498578,6.93,6.25,6.82,4.84,-3.864,6.9983335,0.49,1.97,3.02,1.2,0.97,-0.43,28.0,8.29,0.97,1.09,3.64,0.15,0.5,2.9,0.57,4.42
EVFM,0.1392,-0.3129921,4070000000.0000005,-0.10890000000000001,0.2,0.467,0.42700000000000005,0.02,-0.9129,0.1191,-0.40869999999999995,0.061399999999999996,-0.0633,-0.4959,-0.436,-0.0263,-0.3346,0.0139,0.0,0.15022206,3.12,3.11,3.46,3.09,-3.057,0.72,3.0934286,2.73,-1.05,-2.9619048,3.39,-0.02,17.238573,3.46,3.09,3.39,0.08,-1.938,4.1342754,0.24,0.36,1.63,2.1,0.65,-0.44,53.0,12.33,0.0,2.44,3.64,0.03,2.0,2.0,0.4,2.85
GEVO,1.2609000000000001,-0.63522017,33729999999.999996,-0.10339999999999999,0.25,0.8370000000000001,-0.162,0.066,0.0,-0.126,-0.0877,0.7888,-0.168,-0.5498,-0.303,0.047400000000000005,-0.25,0.35009999999999997,-0.804,0.15022206,1.04,1.03,1.11,1.03,-3.486,4.001,0.8157143,0.46,-0.16,-6.5,1.08,-0.04,4.42183,1.11,1.03,1.08,0.36,-2.187,0.9993478,0.15,2.74,0.08,0.7,0.26,-0.1,57.0,0.19,0.01,0.26,3.64,4.7,0.6,2.0,0.76,0.1
GFF,1.0415,0.15347338,1360000000.0,-0.12789999999999999,0.2041,0.0305,2.126,0.037000000000000005,-0.19140000000000001,-0.0138,0.1704,-0.21780000000000002,-0.1404,-0.0812,0.069,-0.1679,0.005600000000000001,-0.1016,0.099,0.15022206,23.6,17.83,21.13,18.67,9.296,0.91,21.956858,9.15,1.59,11.748427,21.13,0.68,0.45174444,21.13,18.67,21.13,5.75,1.124,17.579638,0.91,2.29,1.34,2.3,2.23,0.39,7300.0,14.56,2.21,1.91,20.55,0.54,1.3,1.5,0.89,5.13
GMBL,0.6125,-0.47859573,1060000000.0,-0.1,0.2,0.0,-0.162,0.001,0.0,156400000000.0,2.5074,-0.2833,-0.1457,0.1382,1.8419999999999999,-0.2589,-0.2757,-0.3223,0.0,0.15022206,4.04,3.89,4.23,3.8,-18.938,1.584,5.463857,2.4,-0.23,-0.6744681,4.21,0.01,17.238573,4.23,3.8,4.21,1.15,-2.045,5.0988436,0.42,0.99,0.0,0.0,0.0,-0.1,299.0,12.33,0.0,0.4,3.64,0.03,0.0,2.0,1.07,0.72
HUSA,-0.0392,-0.564,2830000000.0,-0.1009,0.2,0.0,0.13,0.001,0.0,0.2443,-0.39270000000000005,-0.3333,-0.2899,-0.46299999999999997,-0.365,-0.2952,-0.4303,-0.3615,-0.5,0.15022206,0.97,0.97,1.0602,0.94,-4.401,6.804,1.4691429,0.94,-0.23,-0.6744681,1.06,0.01,8.938519,1.0602,0.94,1.06,0.68,-0.514,1.6180797,0.48,0.4,0.37,9.7,0.0,-0.1,2.0,0.19,0.0,1.43,3.64,17.46,9.7,2.0,0.84,0.18
ICD,1.2963,-0.90174824,1550000000.0,-0.1174,0.07,0.11199999999999999,0.134,0.011000000000000001,-0.0182,-0.2182,-0.5867,-0.2177,-0.1079,-0.8756,-0.099,-0.1356,-0.7016,-0.2416,-0.595,0.15022206,2.49,2.47,2.81,2.45,6.642,0.972,3.2108572,0.25,-9.72,-0.25514403,2.81,-0.04,0.08548391,2.81,2.45,2.81,0.24,-22.038,4.6883335,0.34,7.47,3.35,1.6,0.49,-3.2,650.0,0.19,0.46,0.04,3.64,0.1,1.5,3.0,34.99,0.35
LPI,0.9212,-0.7408273,1550000000.0,-0.1201,-0.0934,-0.019799999999999998,-0.22899999999999998,0.031,0.0,-0.1722,-0.2846,-0.20199999999999999,-0.2245,-0.7791,-0.18100000000000002,-0.2139,-0.484,-0.1543,-0.489,0.15022206,13.05,12.75,13.9276,12.61,2.413,1.977,15.831715,0.25,9.11,1.3918772,13.85,-0.17,0.20915076,13.9276,12.61,13.85,2.01,-84.149,15.099058,0.85,4.63,1.32,1.6,3.35,3.1,280.0,1.04,3.35,0.29,3.64,0.16,1.6,2.7,1.09,2.26
MARA,4.2527,0.14207637,17010000000.000002,-0.1148,0.5,0.0,0.34299999999999997,0.036699999999999997,0.0,3.7469,1.5,-0.5776,-0.254,1.0989,-0.882,-0.3757,0.5802,-0.1399,-0.25,0.15022206,1.86,1.83,2.065,1.79,-19.394,42.253,2.678857,0.35,0.2,9.25,1.81,0.01,40.249023,2.065,1.79,1.81,0.12,-0.527,1.2207971,0.22,2.9,0.03,6.3,0.0,-0.08,3.0,0.19,0.01,3.66,3.64,46.07,6.3,2.0,0.35,0.2
NAKD,-0.059500000000000004,-0.94665074,10570000000.0,-0.1417,0.2,0.0,0.095,0.10640000000000001,0.0,0.9487000000000001,-0.5852,-0.5427000000000001,-0.2638,-0.8773000000000001,-0.93,-0.35240000000000005,-0.7953,-0.5760000000000001,-0.33,0.15022206,0.2,0.1911,0.222,0.1812,-19.88,1.584,0.38454285,0.1812,-0.11,-0.6744681,0.222,0.01,17.238573,0.222,0.1812,0.222,0.08,-106.872,0.551079,0.02,1.59,0.02,0.6,0.0,-0.14,260.0,12.33,0.0,0.4,3.64,0.23,0.2,3.0,1.65,0.04
NCMI,1.5062,-0.43349755,1550000000.0,-0.1174,-0.0633,1.913,0.154,0.003,0.0,-0.1711,-0.2591,0.36700000000000005,0.1247,-0.44310000000000005,0.26,0.20800000000000002,-0.12960000000000002,0.3056,-0.9640000000000001,0.15022206,4.07,4.03,4.6896,4.0225,14.304,4.409,3.1537144,1.62,0.04,101.5,4.46,1.91,0.9930121,4.6896,4.0225,4.46,11.26,0.139,3.4759421,0.25,1.29,3.18,4.4,0.0,-0.15,531.0,70.83,0.0,0.4,18.48,0.61,4.4,2.7,0.68,7.89
NEX,1.21,-0.58557045,1270000000.0,-0.10529999999999999,0.2,0.203,-0.142,0.017,0.0,-0.0241,0.0728,-0.2107,-0.12300000000000001,-0.6701,-0.069,-0.19579999999999997,-0.37939999999999996,-0.1509,-0.541,0.15022206,2.25,2.2,2.44,2.17,2.679,0.33,2.7214286,0.25,-0.23,-0.6744681,2.38,0.01,0.26373136,2.44,2.17,2.38,4.64,-0.045,2.5371015,0.19,3.4,1.65,2.5,0.48,-0.39,6525.0,0.19,0.47,0.64,3.64,0.24,2.3,2.3,1.19,2.94
OII,1.3333000000000002,-0.6465116,1410000000.0,-0.1184,0.2,-0.28300000000000003,-0.237,0.013000000000000001,0.0933,-0.0421,0.0263,-0.201,-0.12990000000000002,-0.6854,-0.17,-0.1625,-0.4296,-0.1875,-0.138,0.15022206,4.73,4.68,5.19,4.69,13.6,0.581,5.6874285,2.01,-0.68,-6.897059,5.16,-0.08,0.23025501,5.19,4.69,5.16,2.08,-6.874,5.625,0.31,3.53,3.63,2.5,1.3,-0.15,9100.0,0.19,1.3,0.65,3.64,0.19,2.1,2.5,0.6,2.23
PEI,0.128,-0.8246528,1940000000.0,-0.10369999999999999,0.01,-0.128,-0.034,0.023,0.0,-0.2159,-0.3799,-0.1378,-0.177,-0.8301999999999999,0.017,-0.1949,-0.6247,-0.24059999999999998,-0.302,0.15022206,0.9054,0.9,0.98,0.86,14.153,6.279,1.1351429,0.8,-1.23,-0.7360163,0.95,-0.91,0.24018908,0.98,0.86,0.95,21.94,-0.706,1.3135507,0.06,2.18,0.5,2.1,5.31,-0.36,233.0,0.19,5.31,0.14,3.64,0.17,0.5,3.5,0.88,11.0
PLM,1.4533,0.2571429,2910000000.0,-0.1636,0.2,0.0,-0.267,0.22,0.0,-0.1583,0.28350000000000003,-0.242,0.1646,0.4457,-0.03,-0.0579,0.1631,-0.1396,0.0,0.15022206,3.66,3.52,4.0788,3.5,-32.097,1.584,4.336571,1.5,-0.03,-122.66667,4.01,-1.99,17.238573,4.0788,3.5,4.01,0.26,-0.641,3.3186955,0.45,0.56,0.07,1.2,0.07,-0.01,21.0,0.19,0.07,1.18,3.64,0.15,1.2,2.0,0.15,0.23
RENN,1.6222,-0.45348895,1550000000.0,-0.1631,0.2,0.0,-0.20800000000000002,0.5007,0.0,0.0129,0.1812,-0.563,-0.38539999999999996,-0.5261,-1.426,-0.4611,-0.47869999999999996,-0.5876,1.995,0.15022206,1.16,1.18,1.4,1.08,-0.79,0.241,2.5114286,0.45,-0.73,-1.6164383,1.4,0.01,0.10345507,1.4,1.08,1.4,2.09,-2.25,2.3144927,0.49,1.53,0.25,0.7,0.3,-0.1,820.0,0.19,0.0,0.93,3.64,0.28,0.5,2.0,0.58,1.68
RETO,1.1733,-0.3240741,4040000000.0,-0.10679999999999999,0.2,-0.536,-0.162,0.5044,0.0,156400000000.0,-0.1067,-0.2591,0.0689,-0.25730000000000003,-0.42100000000000004,-0.0951,-0.23829999999999998,-0.2964,-0.033,0.15022206,0.6519,0.6396,0.6599,0.56,11.973,0.954,0.8087429,0.3,-0.23,-0.6744681,0.6111,0.01,0.3934893,0.6599,0.56,0.6111,0.04,-0.032,0.80052173,0.1,1.59,0.0,0.1,0.0,-0.06,235.0,12.33,0.0,0.27,3.64,0.35,0.1,2.0,6.45,0.04
RIG,0.3389,-0.7559198,28460000000.0,-0.23879999999999998,0.048,-0.267,0.16399999999999998,0.0575,0.0005,-0.1893,-0.4396,-0.5446,-0.16390000000000002,-0.8517,-0.038,-0.37670000000000003,-0.6523,-0.4547,0.22699999999999998,0.15022206,1.02,1.03,1.24,1.01,7.574,2.566,1.8534286,0.76,-1.09,-0.93577975,1.23,-0.32,0.19200772,1.24,1.01,1.23,4.92,-2.88,1.7742753,0.09,2.39,2.53,2.1,0.82,-0.14,6600.0,0.19,0.77,0.05,3.64,0.16,1.8,3.6,0.65,4.44
SBBP,0.972,0.22996521,1550000000.0,-0.2011,0.2,0.16899999999999998,-0.16699999999999998,0.015,0.0,0.056600000000000004,0.1371,-0.295,-0.2656,0.3493,-0.9540000000000001,-0.2514,-0.0217,-0.2447,0.27899999999999997,0.15022206,2.82,2.82,3.37,2.74,-2.935,5.455,3.7322857,1.43,-0.49,-5.7551017,3.22,-0.3,5.9587903,3.37,2.74,3.22,1.68,-1.053,3.1006522,0.17,1.72,0.9,3.4,0.15,-0.14,71.0,0.19,0.14,2.57,3.64,5.84,3.3,1.4,0.43,1.53
SLCA,3.8481,-0.5794481,1500000000.0,-0.1335,0.2,-0.069,-0.32,0.036000000000000004,0.0908,-0.1128,1.3937,-0.0279,-0.1413,-0.3772,-0.131,-0.106,0.015700000000000002,0.004699999999999999,-0.563,0.15022206,3.83,3.79,4.295,3.8,11.648,1.377,3.9974287,0.79,-1.08,-3.5462961,4.25,0.01,0.24759263,4.295,3.8,4.25,7.08,-5.727,2.9974637,0.25,2.83,2.21,2.1,2.07,-0.35,2177.0,0.19,2.01,0.37,3.64,0.19,1.6,3.1,0.72,7.73
TMDI,5.1425,-0.5952381,2370000000.0,-0.1128,0.2,0.0,-0.162,0.0017000000000000001,0.0,0.8737,1.7778,-0.0674,-0.047,0.5152,-0.42100000000000004,-0.038,0.353,-0.0931,-0.033,0.15022206,0.7401,0.7401,0.8377,0.714,-2.65,4.235,0.8305714,0.12,-0.23,-0.6744681,0.8,0.01,5.778923,0.8377,0.714,0.8,0.6,-0.025,0.5713043,0.06,1.59,0.0,0.1,0.0,-0.08,2.0,12.33,0.0,26.43,3.64,6.03,0.1,2.0,0.09,1.57
VET,1.0933,-0.7783344,1250000000.0,-0.113,0.22760000000000002,0.35600000000000004,-0.6372,0.022799999999999997,0.0,156400000000.0,-0.2748,-0.2991,-0.2071,-0.8081,-0.436,-0.2547,-0.6118,-0.2766,-0.547,0.15022206,3.14,3.15,3.42,3.13,-19.88,1.584,4.3234286,1.5,0.61,5.147541,3.41,3.96,0.3934893,3.42,3.13,3.41,5.47,-0.244,4.8526087,0.22,1.59,0.0,0.1,0.0,0.11,790.0,4.66,0.0,0.23,3.64,0.03,0.1,2.0,1.29,8.21
VUZI,3.4535,0.9511111,2530000000.0,-0.1276,0.2,0.214,-0.045,0.065,0.0,0.1303,1.837,-0.0425,0.0296,0.9055,-1.0979999999999999,0.018500000000000003,0.6195,0.0347,0.364,0.15022206,3.89,3.83,4.38,3.82,-7.272,1.584,3.923143,0.86,-0.44,-8.704545,4.18,-0.39,19.451437,4.38,3.82,4.18,2.09,-0.786,2.5076087,0.36,2.15,0.29,8.1,0.06,-0.13,88.0,0.19,0.03,6.33,3.64,26.51,5.9,2.2,0.43,2.03
VVPR,15.4746,7.536764,2310000000.0,-0.1628,0.2,0.0,-0.162,0.8128,0.0,0.8737,9.3957,3.7415,0.0658,8.257100000000001,-0.045,0.9666,5.3335,2.1758,0.625,0.15022206,9.82,9.68,13.75,9.5,29.996,1.941,3.6542,0.59,-0.23,-0.6744681,10.37,0.01,1.9804318,13.75,9.5,10.37,0.2,-0.132,1.717442,2.77,4.95,0.24,1.0,1.46,-0.1,204.0,12.33,1.39,12.82,3.64,3.92,1.3,2.0,39.83,0.04
ACB,0.4189,-0.88707536,3650000000.0,-0.11630000000000001,0.2,-0.536,-0.162,0.028999999999999998,0.0,156400000000.0,-0.3607,-0.26780000000000004,-0.2327,-0.7099,-0.42100000000000004,-0.2218,-0.5194,-0.3011,0.159,0.15022206,7.63,7.54,8.25,7.51,-19.88,0.905,10.142571,5.3,0.52,-0.6744681,8.18,0.01,0.3934893,8.25,7.51,8.18,5.53,0.216,11.355957,0.54,1.59,0.0,2.1,0.0,-0.1,2731.0,12.33,0.0,1.46,23.29,0.49,1.3,2.0,6.36,4.36
AUTO,5.88,0.50709224,1550000000.0,-0.1906,0.25,0.627,-0.423,0.2636,0.0,-0.161,0.7286,0.9656999999999999,-0.3594,0.39270000000000005,-0.619,0.0335,0.9041,0.585,-0.373,0.15022206,3.45,3.5,4.07,3.42,-14.782,0.647,2.5651429,0.5,-0.22,-15.636364,4.01,-0.29,0.4674901,4.07,3.42,4.01,0.08,-0.792,1.5297102,0.41,2.56,0.07,1.4,0.51,-0.1,171.0,0.19,0.05,2.94,3.64,0.53,1.4,1.7,0.59,0.9
BIOC,1.0928,-0.39080465,2730000000.0,-0.1689,0.4,0.3,0.679,0.0003,-0.023399999999999997,0.7431,0.24539999999999998,-0.5624,-0.3353,0.5455,-1.787,-0.4335,-0.0947,-0.41609999999999997,-0.25,0.15022206,4.54,4.46,4.84,4.27,-2.193,8.861,0.78114283,0.21,-0.14,-31.571428,4.605,-0.07,10.427793,4.84,4.27,4.605,0.16,-4.112,0.5494928,0.42,0.92,1.82,5.2,0.1,-0.47,88.0,0.19,0.05,2.33,3.64,11.09,5.0,2.0,0.26,0.15
CNTY,5.0792,-0.21559632,1550000000.0,-0.1023,0.25,1.234,-0.22820000000000001,0.012,2.6471,-0.0922,0.3233,0.30920000000000003,-0.0016,-0.22469999999999998,-0.015,0.0070999999999999995,0.09390000000000001,0.2619,-0.311,0.15022206,6.3,6.14,6.73,6.1,21.037,2.731,5.2937145,1.01,0.45,13.644444,6.73,-0.14,0.74995196,6.73,6.1,6.73,2.99,-2.652,4.4852176,0.37,2.89,1.68,1.0,4.82,0.07,2786.0,10.41,4.61,1.63,3.64,0.68,1.0,2.0,0.46,2.83
